captured_at,season,gameweek,code,status,chance,news,price
2026-09-07T13:48:28.061Z,2026-27,4,469272,a,,,5.5
2026-09-07T13:48:28.061Z,2026-27,4,492498,u,0.0,Has joined Burton Albion on loan for the rest of the season,4.5
2026-09-07T13:48:28.061Z,2026-27,4,629397,u,0.0,Has joined Oxford United on loan for the rest of the season,4.5
2026-09-07T13:48:28.061Z,2026-27,4,176412,i,0.0,Thigh injury - Unknown return date,5.4
2026-09-07T13:48:28.061Z,2026-27,4,230730,a,,,5.0
2026-09-07T13:48:28.061Z,2026-27,4,218997,a,,,5.0
2026-09-07T13:48:28.061Z,2026-27,4,551262,u,0.0,Has joined Shabab Al-Ahli Dubai permanently,5.0
2026-09-07T13:48:28.061Z,2026-27,4,549653,u,0.0,Has joined KVC Westerlo on loan for the rest of the season,4.5
2026-09-07T13:48:28.061Z,2026-27,4,210156,a,,,5.5
2026-09-07T13:48:28.061Z,2026-27,4,661888,a,,,4.9
2026-09-07T13:48:28.061Z,2026-27,4,196100,a,,,5.4
2026-09-07T13:48:28.061Z,2026-27,4,627221,a,,,5.0
2026-09-07T13:48:28.061Z,2026-27,4,79602,a,,,4.0
2026-09-07T13:48:28.061Z,2026-27,4,485337,a,,,5.5
2026-09-07T13:48:28.061Z,2026-27,4,220362,a,,,4.5
2026-09-07T13:48:28.061Z,2026-27,4,172649,a,100.0,,5.0
2026-09-07T13:48:28.061Z,2026-27,4,121709,a,,,4.5
2026-09-07T13:48:28.061Z,2026-27,4,427623,a,,,5.0
2026-09-07T13:48:28.061Z,2026-27,4,651426,a,,,4.9
2026-09-07T13:48:28.061Z,2026-27,4,244723,a,,,4.5
2026-09-07T13:48:28.061Z,2026-27,4,218364,u,0.0,Has joined FC Cologne on loan for the rest of the season,4.5
2026-09-07T13:48:28.061Z,2026-27,4,515621,i,0.0,Knee injury - Unknown return date,4.4
2026-09-07T13:48:28.061Z,2026-27,4,242313,a,,,4.4
2026-09-07T13:48:28.061Z,2026-27,4,232185,i,0.0,Groin injury - Unknown return date,6.3
2026-09-07T13:48:28.061Z,2026-27,4,496221,a,100.0,,5.5
2026-09-07T13:48:28.061Z,2026-27,4,488024,a,,,5.5
2026-09-07T13:48:28.061Z,2026-27,4,108413,a,,,4.5
2026-09-07T13:48:28.061Z,2026-27,4,152551,a,,,4.9
2026-09-07T13:48:28.061Z,2026-27,4,209400,a,,,5.0
2026-09-07T13:48:28.061Z,2026-27,4,489706,u,0.0,Has joined Stoke City permanently,5.0
2026-09-07T13:48:28.061Z,2026-27,4,606921,u,0.0,Has joined Millwall on loan for the rest of the season,5.0
2026-09-07T13:48:28.061Z,2026-27,4,536694,a,,,4.9
